toolName,category,url,contact,description,toolType,public,audience,codebase,publicCodebase,image,component
qHTS Data Browser,qhts data,http://qhts/ws/qhtsclient2.jnlp,Yuhong Wang, "This application provides access to all qHTS data. It includes a flexible query tool that allows you to combine searches across qHTS screens, validation runs, sample lists, and compound libraries. Chemical substructure and similarity searching abilities are also available. This tool also includes a qHTS spreadsheet for data browsing, visualization of titration curves, chemical structures, multi-channel and kinetic data.",java webstart app,false,Data Scientist | Biologist | Chemist,http://qhts/ws/qhtsclient.jnlp,,true,QhtsDataBrowserComponent
qHTS Heatmap Browser,qhts data,http://qhts/ws/qhts_heatmap.jnlp,Dac-Trung Nguyen,"This heatmap tool provides rapid viewing of assay profiles on compounds. It has several features such as ability to sort heatmap by compound similarity and/or activity profiles of selected assays. Selecting individual hetamap cells provides compound structure and associated qHTS curves.",java webstart app,false,Data Scientist | Biologist | Chemist,,,true,QhtsHeatmapBrowserComponent
qHTS Plate Browser,qhts data,http://qhts/ws/plateclient2.jnlp,Yuhong Wang,"Tool to provide performance stats of qHTS screens' assay plates. This application allows you to query across any validation or primary screen runs. You can browse or export standard plate statistics, and there is a heatmap visualization to give summarized views of normalized and background-corrected qHTS data.",java webstart app,,,false,false,'Data Scientist, Biologist, Chemist',,,qHTS,true,QhtsPlateBrowserComponent,
qHTS Sample Client,NCGC compounds,http://qhts/ws/ncgc_sample.jnlp,Yuhong Wang,"This application provides access to all chemical structure info of NCGC sample collections.",java webstart app,false,Data Scientist | Biologist | Chemist,,,true,QhtsSampleClientComponent
NCATSFind Excel,chemistry,,Tyler Peryea,"Resolver and standardizer for names, structures, and chemical properties",Excel Plugin,false,Data Scientist | Biologist | Chemist,https://github.com/ncats/NCATSFindExcel,false,true,NcatsFindExcelComponent
Predictor,QSAR models,https://predictor.ncats.io,Alexey Zakharov | Tongan Zhao,QSAR models for targets and ADMET predictions,website,true,Data Scientist | Biologist | Chemist,,true,true,
Molecular Diagnosis System,ADMET Predictor,http://qhts.nih.gov/md/,Hongmao Sun | Yuhong Wang,18 highly predictive models for ADMET properties,website,true,Chemist,,false,true,
GSRS,chemistry,http://ginas.ncats.nih.gov,Tyler Peryea,Global Substance Registration System (GSRS) is FDA's database of regulated medicinal product ingredients and substances. The software was developed by NCATS scientists as part of the Global Ingredient Archival System (ginas) project which brings together medicinal product regulators to develop registration standards for the ingredients in medicinal products. The project goal is to make it easier for regulators and other stakeholders to exchange information about substances in medicines and support scientific research on the use and safety of these products.,website | API,true,Data Scientist | Chemist,https://spotlite.nih.gov/ncats/inxight,false,true,
shiny apps,internal website,http://shiny.ncats.nih.gov:3838,Lu Chen,"Various applications for qhts, matrix and rnai. Usually small, single function apps (generate plot or do a specific statistical test)",website | R package,false,Data Scientist | Biologist | Chemist,https://spotlite.nih.gov/ncats/shiny,false,true,
qHTS Tools,qhts,http://qhts/ws,Yuhong Wang,A list of java web applications that help process qHTS data,,,Data Scientist,https://bitbucket.org/ncgc/qhts-client,,,
RASLSeq Mapper,genomics,,John Braisted,Maps sequence reads to RASLSeq probes,CLI,,Data Scientist,,,,
CANVASS,qhts,https://tripod.nih.gov/canvass,Tongan Zhao,Web interface to CanWeb interface to NCATS CANVASS datasets. CANVASS is a project working with total synthesis and natural product isolation groups to access novel natural products for high-throughput screening.vass assays,website,true,Data Scientist | Biologist | Chemist,,,true,
Tox21 Portal,Tox21,https://tripod.nih.gov/tox,Tongan Zhao | Ruili Huang,Tox21 internal tools,website | DB,true,Data Scientist | Biologist | Chemist,,,true,
lychi,chemistry,https://github.com/ncats/lychi,Dac-Trung Nguyen,chemical structure standardizer,software,true,Data Scientist,https://github.com/ncats/lychi,true,,
scaffold hopper,,https://tripod.nih.gov/ws/hopper/hopper.jnlp,Dac-Trung Nguyen | Tyler Peryea,"scaffold hopping, r-group decomposition, structure searching pubmed",java webstart app,true,Data Scientist | Biologist | Chemist,,,true,ScaffoldHopperComponent
NCATSFind Resolver,chemistry,https://tripod.nih.gov/servlet/resolverBeta3?structure=gleevec%0A50-00-0,Tyler Peryea,Resolves a name/code/structure to many other name/code/structures/properties,webservice,true,Developer,,,true,ResolverComponent
Renderer,chemistry,https://tripod.nih.gov/servlet/renderServletv12?structure=C1CCCOC1,Tyler Peryea,"Renders a structure based on a smiles string, has lots of low-level options",webservice,true,Developer,,,true,
pcfp,pubchem fingerprint,https://bitbucket.org/caodac/pcfp,Dac-Trung Nguyen,pubchem fingerprint implementation,,,Data Scientist,,,,
adme web,adme data browser,http://adme.ncats.nih.gov/adme,Tongan Zhao,adme data browser,,false,Data Scientist | Biologist | Chemist,,,,
adme loader,adme data loader,http://qhts.nih.gov/ws/adme/adme.jnlp,Dac-Trung Nguyen,adme data browser and loader,,false,Data Scientist,,,,
Curve,tox21,http://128.231.10.203:8080/toxcurve/,Tongan Zhao | Ruili Huang,Tox21 dose response curve service,website,false,Developer,,,true,
