method,Internal_ID,Annotation_ID,Metabolite,MZ,Adduct,hmdbId,hmdbIdSpecificity,chebiId,pubChemId,smiles,inChI,inChIKey,chemicalFormula,adduct of formula,LinkedCompounds
C18P,Annotation__20230630__LPCO-22100__EAuKwd8o,LPC O-22:1/0:0,LPC P-22:0 or LPC O-22:1_A,564.4387534,[M+H]+,,,,,,,,C30H62NO6P,[M],mxp3805-sc
C18P,Annotation__20231018__LacCer361;O2__YL35hNvc,LacCer 36:1;O2,LacCer 36:1;O2,890.6563204,[M+H]+,HMDB0011591,,,136212713,,,,C48H91NO13,[M],mxp3049-sc
C18P,Annotation__20231020__LPCP-161orLPCO-162__iaTiQcvS,LPC P-16:1 or LPC O-16:2,LPC P-16:1 or LPC O-16:2,478.3292034,[M+H]+,,,,,,,,C24H48NO6P,[M],mxp3797-sc
C18P,"Annotation__20240429__1,3,7-Trimethyluricacid__S4gekdJx","1,3,7-Trimethyluric acid","1,3,7-Trimethyluric acid",211.0825674,[M+H]+,HMDB0002123,1,CHEBI:691622,79437,CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C,"InChI=1S/C8H10N4O3/c1-10-4-5(9-7(10)14)11(2)8(15)12(3)6(4)13/h1-3H3,(H,9,14)",BYXCFUMGEBZDDI-UHFFFAOYSA-N,C8H10N4O3,[M],mxp1227
C18P,Annotation__20240429__dimethylurate__7AyBwrTY,dimethylurate,"1,3-Dimethyluric acid",197.0669174,[M+H]+,HMDB0001857,1,CHEBI:68447,70346,CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2,"InChI=1S/C7H8N4O3/c1-10-4-3(8-6(13)9-4)5(12)11(2)7(10)14/h1-2H3,(H2,8,9,13)",OTSBKHHWSQYEHK-UHFFFAOYSA-N,C7H8N4O3,[M],mxp0937
C18P,"Annotation__20240429__1,7-Dimethyluricacid__dLEt22yz","1,7-Dimethyluric acid","1,7-Dimethyluric acid",197.0669174,[M+H]+,HMDB0011103,1,CHEBI:68449,91611,CN1C2=C(NC1=O)NC(=O)N(C2=O)C,"InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)9-7(14)11(2)5(3)12/h1-2H3,(H,8,13)(H,9,14)",NOFNCLGCUJJPKU-UHFFFAOYSA-N,C7H8N4O3,[M],mxp1228
C18P,Annotation__20240429__1H-Indole-3-carboxaldehyde__MtjrndBn,1H-Indole-3-carboxaldehyde,1H-Indole-3-carboxaldehyde,146.0600404,[M+H]+,HMDB0029737,1,CHEBI:28238,10256,C1=CC=C2C(=C1)C(=CN2)C=O,"InChI=1S/C9H7NO/c11-6-7-5-10-9-4-2-1-3-8(7)9/h1-6,10H",OLNJUISKUQQNIM-UHFFFAOYSA-N,C9H7NO,[M],mxp1552
C18P,Annotation__20240429__1-Methyluricacid__2nF5ohBY,1-Methyluric acid,1-Methyluric acid,183.0512674,[M+H]+,HMDB0003099,1,CHEBI:68441,69726,CN1C(=O)C2=C(NC(=O)N2)NC1=O,"InChI=1S/C6H6N4O3/c1-10-4(11)2-3(9-6(10)13)8-5(12)7-2/h1H3,(H,9,13)(H2,7,8,12)",QFDRTQONISXGJA-UHFFFAOYSA-N,C6H6N4O3,[M],mxp1249
C18P,Annotation__20240429__2-Acetylpyrrolidine__YJqPyqBj,2-Acetylpyrrolidine,2-Acetylpyrrolidine,114.0913404,[M+H]+,HMDB0037293,1,,550747,CC(=O)C1CCCN1,"InChI=1S/C6H11NO/c1-5(8)6-3-2-4-7-6/h6-7H,2-4H2,1H3",FYCFJMPASVKULQ-UHFFFAOYSA-N,C6H11NO,[M],mxp1533
C18P,Annotation__20240429__furoylglycine__ZKUGoZiQ,furoylglycine,2-Furoylglycine,170.0447854,[M+H]+,HMDB0000439,1,CHEBI:82912,21863,C1=COC(=C1)C(=O)NCC(=O)O,"InChI=1S/C7H7NO4/c9-6(10)4-8-7(11)5-2-1-3-12-5/h1-3H,4H2,(H,8,11)(H,9,10)",KSPQDMRTZZYQLM-UHFFFAOYSA-N,C7H7NO4,[M],mxp0772
